"codigo_centro","codigo_cne_nuevo","codigo_viejo","codigo_cne_viejo","nombre_centro","rep_2004","votos_validos","votos_gobierno","votos_oposicion","votos_otros","votos_nulos","total_votos","pct_gobierno","pct_oposicion","participacion","tipo_centro","fuente_url"
"010108011","010108011","1020","1020","E BASC TOMAS AGUERREVERE","3042","2001","1120","881","0","0","2001","55.97","44.03","65.78","Computarizado","https://web.archive.org/web/20071114062224id_/http://www.esdata.info:80/centro/1020"
"010108012","010108012","1040","1040","UND EDUC MUNICIPAL PANCHITA ADRIANZA","1593","1125","594","531","0","0","1125","52.8","47.2","70.62","Computarizado","https://web.archive.org/web/20071205224935id_/http://www.esdata.info:80/centro/1040"
"010108013","010108013","1050","1050","UND EDUC MUNICIPAL PASTORA LANDAEZ","2247","1481","700","781","0","0","1481","47.27","52.73","65.91","Computarizado","https://web.archive.org/web/20071114011228id_/http://www.esdata.info:80/centro/1050"
"010108014","010108014","1060","1060","UND BASC CONSUELO NAVAS TOVAR","1603","1076","676","400","0","0","1076","62.83","37.17","67.12","Computarizado","https://web.archive.org/web/20080124021602id_/http://www.esdata.info:80/centro/1060"
"010108015","010108015","1070","1070","SUB - REGION CARACAS MSAS","876","556","289","267","0","0","556","51.98","48.02","63.47","Computarizado","https://web.archive.org/web/20071114012913id_/http://www.esdata.info:80/centro/1070"
"010108017","010108017","1090","1090","ESC BASC ARMANDO REVERON","2816","1871","891","980","0","0","1871","47.62","52.38","66.44","Computarizado","https://web.archive.org/web/20071203004319id_/http://www.esdata.info:80/centro/1090"
"010108018","010108018","1100","1100","COLEGIO COROMOTO","1736","1193","696","497","0","0","1193","58.34","41.66","68.72","Computarizado","https://web.archive.org/web/20071125210056id_/http://www.esdata.info:80/centro/1100"
"010108019","010108019","1110","1110","INSTITUTO VENEZOLANO DE EDUCACION","686","489","267","222","0","0","489","54.6","45.4","71.28","Computarizado","https://web.archive.org/web/20071125210101id_/http://www.esdata.info:80/centro/1110"
"010108020","010108020","1121","1121","COLEGIO STA LUISA","3180","2304","1023","1281","0","0","2304","44.4","55.6","72.45","Computarizado","https://web.archive.org/web/20071114055345id_/http://www.esdata.info:80/centro/1121"
"010108021","010108021","1123","1123","C M A DR ANGEL VICENTE OCHOA","2376","1581","1035","546","0","0","1581","65.46","34.54","66.54","Computarizado","https://web.archive.org/web/20071205225005id_/http://www.esdata.info:80/centro/1123"
