nombre,lat,lon,riesgo
CENTRO DE EDUCACION INICIAL MUNICIPAL EL CARMEN,10.4208,-66.8706,1
CENTRO DE EDUCACION INICIAL NACIONAL EL LLANITO,10.4687,-66.807,1
CENTRO DE EDUCACION INICIAL NACIONAL JACINTO LARA,10.4933,-66.8053,1
CENTRO DE EDUCACIÓN INICIAL NACIONAL RAYITO DE SOL,9.6658,-68.6037,1
CENTRO DE EDUCACION INICIAL NEGRA HIPOLITA,10.0279,-69.43,1
CENTRO DE EDUCACION INICIAL PRE-ESCOLAR CINTHIA ROSEMBERG,10.4855,-66.8098,1
CENTRO DE EDUCACION INICIAL PREESCOLAR REPUBLICA DEL BRASIL,9.91217,-67.3532,1
CENTRO DE EDUCACION INICIAL PROFESOR BERNARDO ACOSTA,11.007,-63.7994,1
CENTRO DE EDUCACION INICIAL RAFAEL ANTONIO REYES ZUMETA,10.3268,-68.7463,1
CENTRO DE EDUCACION INICIAL REPUBLICA DE NICARAGUA,10.3402,-68.7364,1
CENTRO DE EDUCACION INICIAL ROMULO GALLEGOS,10.0271,-69.4069,1
CENTRO DE EDUCACION INICIAL SAN JUAN DE LA CRUZ,10.0799,-69.3068,1
CENTRO DE EDUCACIÓN INICIAL SAN JUDAS TADEO,9.72709,-63.2421,1
CENTRO DE EDUCACION INICIAL SAN RAMON,9.68247,-68.5873,1
CENTRO DE EDUCACION INICIAL SANTIAGO MARINO,10.9441,-63.9498,1
CENTRO DE EDUCACION INICIAL SIMON RODRIGUEZ,10.1593,-70.0834,1
CENTRO DE EDUCACION INICIAL SIMONCITO ANDRES BELLO,10.9586,-63.8682,1
CENTRO DE EDUCACIÓN INICIAL SIMONCITO AZUL Y VIENTO,10.9629,-63.8532,1
CENTRO DE EDUCACION INICIAL SIMONCITO BOLIVARIANO MARISCAL DE AYACUCHO,7.77102,-72.2077,1
CENTRO DE EDUCACION INICIAL SIMONCITO JUAN BAUTISTA GARCIA ROA,7.76191,-72.2416,1
CENTRO DE EDUCACIÓN INICIAL SIMONCITO SAN ANTONIO,10.9601,-63.9113,1
CENTRO DE EDUCACIÓN INICIAL SIMONCITO VIRGEN DEL VALLE,10.9572,-63.8614,1
CENTRO DE EDUCACION INICIAL SIMONCITO VIRGILIO PINZON,7.79604,-72.2174,1
CENTRO DE EDUCACION INICIAL TARABAY,7.80253,-72.2668,1
