transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,similarity,n_difiere_otras_variantes,n_difiere_vs_winner_share,n_difiere_vs_top2_gap,n_difiere_vs_full_profile,distancia_media_sel,distancia_mediana_sel,distancia_max_sel,pasada_maxima,tolerancia_maxima,conteo_por_tolerancia,electores_medianos_sel,electores_minimos_sel
2013_2018,legacy_similarity,baseline,300,21,Zulia,12,1338,1185,1320,12,12,100.0,98.654709,47.688074,47.80954,0.121466,47.80954,72.015941,72.1303,0.114358,24.327867,24.32076,-0.007107,2452432.0,top2_gap,4,4,0,4,0.66022,0.718376,1.34417,1,2,2:12,4742.0,3705.0
2013_2018,legacy_similarity,baseline,300,22,Amazonas,2,145,123,138,2,2,100.0,95.172414,52.458365,53.126245,0.66788,53.126245,61.36296,56.111758,-5.251203,8.904596,2.985513,-5.919082,107896.0,top2_gap,0,0,0,0,1.5711,1.5711,1.92378,1,2,2:2,2996.0,2552.0
2013_2018,legacy_similarity,baseline,300,23,Delta Amacuro,2,180,172,163,2,2,100.0,90.555556,61.63058,61.398176,-0.232404,61.398176,65.90959,90.276243,24.366653,4.27901,28.878067,24.599056,120242.0,top2_gap,1,1,0,1,0.940321,0.940321,1.8015,1,2,2:2,813.0,599.0
2013_2018,legacy_similarity,baseline,300,24,La Guaira,3,202,198,202,3,3,100.0,100.0,57.085172,56.925092,-0.16008,56.925092,74.429675,75.50652,1.076844,17.344503,18.581427,1.236924,279952.0,top2_gap,1,1,0,1,0.69639,0.442022,1.479092,1,2,2:3,3907.0,2536.0
2013_2018,legacy_similarity,baseline,300,01,Distrito Capital,9,891,859,891,9,9,100.0,100.0,51.320369,52.063434,0.743066,52.063434,70.89212,68.675726,-2.216394,19.571752,16.612292,-2.959459,1697224.0,full_profile,5,0,5,0,1.123583,1.143323,1.982642,1,2,2:9,4739.0,3384.0
2013_2018,legacy_similarity,baseline,300,02,Anzoategui,6,650,594,650,6,6,100.0,100.0,47.323629,48.082609,0.75898,48.082609,60.720968,56.858049,-3.862919,13.397339,8.77544,-4.621899,1066195.0,full_profile,3,0,3,0,1.133797,1.113745,1.677909,1,2,2:6,4717.0,4293.0
2013_2018,legacy_similarity,baseline,300,03,Apure,3,349,311,341,3,3,100.0,97.707736,61.76014,61.629252,-0.130887,61.629252,69.231693,68.792867,-0.438826,7.471553,7.163614,-0.307939,334268.0,full_profile,1,0,1,0,0.988555,0.677048,1.754236,1,2,2:3,3540.0,3301.0
2013_2018,legacy_similarity,baseline,300,04,Aragua,7,630,603,609,7,7,100.0,96.666667,54.054519,53.861675,-0.192844,53.861675,71.252347,67.14025,-4.112097,17.197829,13.278576,-3.919253,1213087.0,full_profile,1,0,1,0,0.855569,0.814812,1.856019,1,2,2:7,4180.0,2834.0
2013_2018,legacy_similarity,baseline,300,05,Barinas,4,563,485,548,4,4,100.0,97.335702,52.188214,51.946917,-0.241297,51.946917,59.604485,56.169684,-3.434802,7.416271,4.222767,-3.193504,560790.0,full_profile,1,0,1,0,0.636749,0.567518,1.126433,1,2,2:4,3769.5,3571.0
2013_2018,legacy_similarity,baseline,300,06,Bolivar,6,720,691,708,6,6,100.0,98.333333,47.879948,47.644518,-0.23543,47.644518,59.815233,53.716301,-6.098932,11.935285,6.071784,-5.863501,973381.0,full_profile,1,0,1,0,0.780533,0.829908,1.352639,1,2,2:6,4068.0,3831.0
2013_2018,legacy_similarity,baseline,300,07,Carabobo,8,711,648,704,8,8,100.0,99.015471,50.513511,51.133104,0.619593,51.133104,65.555724,63.285723,-2.270002,15.042213,12.152619,-2.889595,1561777.0,full_profile,4,0,4,0,1.049962,1.047429,1.719461,1,2,2:8,4181.0,3509.0
2013_2018,legacy_similarity,baseline,300,08,Cojedes,2,262,248,253,2,2,100.0,96.564885,61.165345,62.017118,0.851772,62.017118,66.92687,67.887088,0.960217,5.761525,5.86997,0.108445,240646.0,full_profile,1,0,1,0,0.915386,0.915386,1.228676,1,2,2:2,2902.0,2894.0
2013_2018,legacy_similarity,baseline,300,09,Falcon,4,729,680,721,4,4,100.0,98.902606,53.03365,53.216427,0.182776,53.216427,59.221804,55.519732,-3.702072,6.188153,2.303305,-3.884848,668149.0,full_profile,4,1,4,0,1.561518,1.586171,1.69903,1,2,2:4,3574.5,3202.0
2013_2018,legacy_similarity,baseline,300,10,Guarico,4,463,412,463,4,4,100.0,100.0,59.289042,59.022634,-0.266407,59.022634,73.397625,67.046534,-6.351092,14.108584,8.023899,-6.084685,526963.0,full_profile,2,0,2,0,0.921331,1.093696,1.268347,1,2,2:4,4474.0,4005.0
2013_2018,legacy_similarity,baseline,300,11,Lara,7,1044,963,1027,7,7,100.0,98.371648,47.719486,47.38256,-0.336926,47.38256,66.720956,61.742671,-4.978285,19.001471,14.360111,-4.641359,1261626.0,full_profile,3,1,3,0,0.946032,0.923875,1.581674,1,2,2:7,4398.0,3881.0
2013_2018,legacy_similarity,baseline,300,12,Merida,4,526,511,526,4,4,100.0,100.0,42.885591,42.964128,0.078537,42.964128,66.606371,68.624473,2.018102,23.72078,25.660345,1.939565,602637.0,full_profile,3,1,3,0,1.290562,1.3904,1.650162,1,2,2:4,3974.5,3431.0
2013_2018,legacy_similarity,baseline,300,13,Miranda,10,1118,1023,1110,10,10,100.0,99.284436,47.296963,47.74666,0.449698,47.74666,76.103796,73.371456,-2.732341,28.806834,25.624795,-3.182039,2075234.0,full_profile,5,1,4,0,0.963444,0.96663,1.940399,1,2,2:10,4708.5,3634.0
2013_2018,legacy_similarity,baseline,300,14,Monagas,4,536,430,518,4,4,100.0,96.641791,55.464436,55.298651,-0.165785,55.298651,64.569134,60.16198,-4.407154,9.104698,4.863329,-4.241369,625457.0,full_profile,0,0,0,0,0.560815,0.615802,0.787786,1,2,2:4,3057.5,2842.0
2013_2018,legacy_similarity,baseline,300,15,Nueva Esparta,3,245,226,245,3,3,100.0,100.0,46.909744,46.005155,-0.904589,46.005155,70.128847,71.860848,1.732001,23.219104,25.855693,2.63659,350093.0,full_profile,1,0,1,0,0.959568,1.075805,1.128663,1,2,2:3,3103.0,3090.0
2013_2018,legacy_similarity,baseline,300,16,Portuguesa,4,660,613,654,4,4,100.0,99.090909,65.453833,66.210919,0.757086,66.210919,65.943872,68.490591,2.546719,0.490039,2.279672,1.789633,605921.0,full_profile,1,0,1,0,0.89351,0.717884,1.804694,1,2,2:4,3203.0,2551.0
2013_2018,legacy_similarity,baseline,300,17,Sucre,4,683,643,671,4,4,100.0,98.243045,57.483592,57.570743,0.087151,57.570743,66.512811,66.287676,-0.225135,9.029219,8.716933,-0.312287,643440.0,full_profile,0,0,0,0,0.477707,0.517977,0.739372,1,2,2:4,3893.0,3268.0
2013_2018,legacy_similarity,baseline,300,18,Tachira,5,680,669,674,5,5,100.0,99.117647,36.97814,36.93454,-0.043601,36.93454,67.981093,60.460044,-7.521049,31.002952,23.525504,-7.477448,868879.0,full_profile,3,1,3,0,1.155559,1.485725,1.749212,1,2,2:5,4049.0,3773.0
2013_2018,legacy_similarity,baseline,300,19,Trujillo,4,638,630,638,4,4,100.0,100.0,59.789413,59.729784,-0.059629,59.729784,64.62467,68.480222,3.855552,4.835257,8.750438,3.915181,529867.0,full_profile,1,0,1,0,0.708823,0.712039,1.205493,1,2,2:4,3162.0,3060.0
2013_2018,legacy_similarity,baseline,300,20,Yaracuy,3,487,460,483,3,3,100.0,99.178645,56.530006,55.219261,-1.310745,55.219261,62.830806,51.408299,-11.422507,6.3008,-3.810961,-10.111761,430459.0,full_profile,2,0,2,0,1.314907,1.478417,1.791654,1,2,2:3,2217.0,1853.0
2013_2018,legacy_similarity,baseline,300,21,Zulia,12,1338,1185,1320,12,12,100.0,98.654709,47.688074,47.753244,0.06517,47.753244,72.015941,69.976072,-2.03987,24.327867,22.222827,-2.10504,2452432.0,full_profile,4,0,4,0,0.726947,0.494428,1.695349,1,2,2:12,5723.5,4647.0
2013_2018,legacy_similarity,baseline,300,22,Amazonas,2,145,123,138,2,2,100.0,95.172414,52.458365,53.126245,0.66788,53.126245,61.36296,56.111758,-5.251203,8.904596,2.985513,-5.919082,107896.0,full_profile,0,0,0,0,0.848392,0.848392,1.025628,1,2,2:2,2996.0,2552.0
2013_2018,legacy_similarity,baseline,300,23,Delta Amacuro,2,180,172,163,2,1,50.0,90.555556,61.63058,61.189802,-0.440778,61.778471,65.90959,94.501718,28.592128,4.27901,32.723247,28.444237,120242.0,full_profile,1,1,1,0,0.82761,0.82761,1.43858,1,2,2:2,851.5,676.0
2013_2018,legacy_similarity,baseline,300,24,La Guaira,3,202,198,202,3,3,100.0,100.0,57.085172,56.413109,-0.672063,56.413109,74.429675,74.96144,0.531764,17.344503,18.54833,1.203827,279952.0,full_profile,1,0,1,0,0.868766,0.812034,1.462151,1,2,2:3,4291.0,3907.0
2018_2024,legacy_similarity,baseline,300,01,Distrito Capital,7,602,517,602,7,7,100.0,100.0,70.89212,69.93014,-0.96198,69.93014,32.049031,34.286374,2.237343,-38.843089,-35.643766,3.199323,1235729.0,winner_share,6,0,4,3,1.197529,1.053105,1.955442,1,2,2:7,6405.0,5655.0
2018_2024,legacy_similarity,baseline,300,02,Anzoategui,7,573,519,573,7,7,100.0,100.0,60.720968,60.34384,-0.377128,60.34384,30.74201,28.973298,-1.768712,-29.978958,-31.370542,-1.391583,1062364.0,winner_share,6,0,5,5,1.055602,1.252994,1.74565,1,2,2:7,4750.0,4385.0
2018_2024,legacy_similarity,baseline,300,03,Apure,3,312,283,312,3,3,100.0,100.0,69.231693,69.314165,0.082471,69.314165,35.300266,35.435909,0.135643,-33.931427,-33.878256,0.053172,356082.0,winner_share,2,0,2,2,0.777363,0.605739,1.163857,1,2,2:3,3015.0,2772.0
2018_2024,legacy_similarity,baseline,300,04,Aragua,7,599,550,599,7,7,100.0,100.0,71.252347,71.732005,0.479657,71.732005,29.305764,25.025536,-4.280227,-41.946584,-46.706468,-4.759885,1228535.0,winner_share,6,0,4,5,1.062886,0.935475,1.734663,1,2,2:7,4980.0,4472.0
2018_2024,legacy_similarity,baseline,300,05,Barinas,4,582,459,582,4,4,100.0,100.0,59.604485,59.561356,-0.043129,59.561356,23.709258,13.802272,-9.906986,-35.895227,-45.759084,-9.863857,592896.0,winner_share,2,0,2,2,0.273587,0.285877,0.47686,1,2,2:4,3882.0,3624.0
2018_2024,legacy_similarity,baseline,300,06,Bolivar,5,514,458,514,5,5,100.0,100.0,59.815233,58.460732,-1.354501,58.460732,25.36604,23.15298,-2.213061,-34.449192,-35.307752,-0.85856,810307.0,winner_share,4,0,2,4,1.310369,1.494282,1.551261,1,2,2:5,5082.0,4552.0
2018_2024,legacy_similarity,baseline,300,07,Carabobo,7,475,452,475,7,7,100.0,100.0,65.555724,65.338761,-0.216963,65.338761,26.589778,25.794994,-0.794784,-38.965946,-39.543767,-0.577821,1191798.0,winner_share,7,0,6,6,0.990878,1.031006,1.928147,1,2,2:7,5934.0,5256.0
2018_2024,legacy_similarity,baseline,300,08,Cojedes,3,222,184,222,3,3,100.0,100.0,66.92687,66.695577,-0.231294,66.695577,35.776108,28.911632,-6.864477,-31.150762,-37.783945,-6.633183,219710.0,winner_share,1,0,1,0,0.609602,0.4738,1.161105,1,2,2:3,3237.0,2574.0
2018_2024,legacy_similarity,baseline,300,09,Falcon,5,615,592,615,5,5,100.0,100.0,59.221804,58.342566,-0.879238,58.342566,26.981505,23.368135,-3.613369,-32.240299,-34.974431,-2.734132,650057.0,winner_share,5,0,3,5,0.893963,1.155442,1.677185,1,2,2:5,4070.0,3928.0
2018_2024,legacy_similarity,baseline,300,10,Guarico,4,445,391,445,4,4,100.0,100.0,73.397625,73.450549,0.052924,73.450549,33.620677,32.368257,-1.25242,-39.776949,-41.082293,-1.305344,527291.0,winner_share,4,0,4,3,1.696383,1.71818,1.765501,1,2,2:4,3726.0,3471.0
