codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
101101001,10,Guarico,ESCUELA BASICA CARLOS IRAZABAL PEREZ,4832.0,5,4.677057,-1.117108,2,1.117108,2.897083,3.400206,1.779975,1.779975,2.897083,recent_distance,common,1.117108,1,2,longitudinal,2013,,
100301009,10,Guarico,ESCUELA BASICA CELINA ACOSTA DE VIANA,4506.0,7,1.932515,-0.994442,2,0.994442,1.463479,1.536803,0.469036,0.469036,1.463479,recent_distance,common,0.994442,1,2,longitudinal,2013,,
100301021,10,Guarico,LICEO FRANCISCO DE MIRANDA,3975.0,17,6.735996,0.534865,2,0.534865,3.63543,4.77806,3.63543,3.63543,3.100565,recent_distance,common,0.534865,1,2,longitudinal,2013,,
110207048,11,Lara,ESCUELA BASICA SIMON BOLIVAR,7293.0,1,11.029696,0.659249,2,0.659249,5.844472,7.813092,5.844472,5.844472,5.185223,recent_distance,common,0.659249,1,2,longitudinal,2013,,
110207015,11,Lara,UNIDAD EDUCATVA BERNABE PLANAS,5619.0,6,6.43473,-0.686631,2,0.686631,3.56068,4.575872,2.87405,2.87405,3.56068,recent_distance,common,0.686631,1,2,longitudinal,2013,,
110601011,11,Lara,ESCUELA BASICA CREACION CALICANTO,4378.0,22,-4.155634,0.216969,2,0.216969,2.186301,2.942479,-1.969333,1.969333,2.186301,recent_distance,common,0.216969,1,2,longitudinal,2013,,
110601017,11,Lara,UNIDAD EDUCATIVA ESTADAL RAIMUNDO PERNALETE,4346.0,26,-4.323262,0.158576,2,0.158576,2.240919,3.059064,-2.082343,2.082343,2.240919,recent_distance,common,0.158576,1,2,longitudinal,2013,,
110601014,11,Lara,ESCUELA BASICA ARGENIS GRATEROL,4256.0,30,-6.103759,-1.25891,2,1.25891,3.681335,4.406854,-3.681335,3.681335,2.422424,recent_distance,common,1.25891,1,2,longitudinal,2013,,
110203002,11,Lara,UNIDAD EDUCATIVA MARIA LEDEZMA,4249.0,31,3.467928,-0.250001,2,0.250001,1.858965,2.458559,1.608963,1.608963,1.858965,recent_distance,common,0.250001,1,2,longitudinal,2013,,
110201037,11,Lara,GRUPO ESCOLAR JUAN TAMAYO RODRIGUEZ,4096.0,39,10.182906,0.073635,2,0.073635,5.12827,7.20059,5.12827,5.12827,5.054635,recent_distance,common,0.073635,1,2,longitudinal,2013,,
120806002,12,Merida,UNID EDUC ANDRES ELOY BLANCO,4399.0,3,2.975465,1.64174,2,1.64174,2.308603,2.402988,2.308603,2.308603,0.666863,recent_distance,common,1.64174,1,2,longitudinal,2013,,
120806001,12,Merida,GRUPO ESCOLAR EL EDUCADOR,3755.0,7,3.476391,-0.246076,2,0.246076,1.861234,2.46433,1.615157,1.615157,1.861234,recent_distance,common,0.246076,1,2,longitudinal,2013,,
120901001,12,Merida,ESCUELA ESTADO APURE,3569.0,13,-2.209551,-1.52965,2,1.52965,1.8696,1.900255,-1.8696,1.8696,0.339951,recent_distance,common,1.52965,1,2,longitudinal,2013,,
121701001,12,Merida,CICLO COMBINADO DR GERONIMO MALDONADO,3470.0,15,-0.809463,-1.693036,2,1.693036,1.25125,1.326952,-1.25125,1.25125,0.441787,recent_distance,common,1.693036,1,2,longitudinal,2013,,
131101024,13,Miranda,ESCUELA EL INGENIO,5826.0,34,14.590766,1.945351,2,1.945351,8.268059,10.408527,8.268059,8.268059,6.322707,recent_distance,common,1.945351,1,2,longitudinal,2013,,
131603002,13,Miranda,UNIDAD EDUCATIVA ESTADAL  ADOLFO NAVAS  CORONADO,5222.0,52,4.318777,0.854941,2,0.854941,2.586859,3.113098,2.586859,2.586859,1.731918,recent_distance,common,0.854941,1,2,longitudinal,2013,,
130301021,13,Miranda,UNIDAD EDUCATIVA ESTADAL TOMAS RAFAEL JIMENEZ,5071.0,62,5.961448,-0.676072,2,0.676072,3.31876,4.242401,2.642688,2.642688,3.31876,recent_distance,common,0.676072,1,2,longitudinal,2013,,
130901091,13,Miranda,ESCUELA BASICA NACIONAL . ANTONIO ORDONEZ,4386.0,95,5.875309,1.665667,2,1.665667,3.770488,4.3182,3.770488,3.770488,2.104821,recent_distance,common,1.665667,1,2,longitudinal,2013,,
131101007,13,Miranda,GRUPO ESCOLAR ELIAS CALIXTO POMPA,4066.0,111,7.718283,0.268286,2,0.268286,3.993284,5.460946,3.993284,3.993284,3.724999,recent_distance,common,0.268286,1,2,longitudinal,2013,,
130901099,13,Miranda,UNIDAD EDUCATIVA NACIONAL LICEO MARIANO PICON SALAS,4041.0,114,3.490599,1.008231,2,1.008231,2.249415,2.569126,2.249415,2.249415,1.241184,recent_distance,common,1.008231,1,2,longitudinal,2013,,
131201002,13,Miranda,ESCUELA BOLIVARIANA POLICARPO FARRERA,3781.0,141,7.308758,0.879889,2,0.879889,4.094323,5.205389,4.094323,4.094323,3.214435,recent_distance,common,0.879889,1,2,longitudinal,2013,,
130801033,13,Miranda,UNIDAD EDUCATIVA BENITO CANONICO,3713.0,152,7.935105,0.314302,2,0.314302,4.124703,5.615367,4.124703,4.124703,3.810402,recent_distance,common,0.314302,1,2,longitudinal,2013,,
131701012,13,Miranda,UNIDAD EDUCATIVA ESTADAL FRANCISCO DE MIRANDA,3115.0,230,-5.286851,-1.198345,2,1.198345,3.242598,3.833199,-3.242598,3.242598,2.044253,recent_distance,common,1.198345,1,2,longitudinal,2013,,
131201005,13,Miranda,GRUPO ESCOLAR TERESA DE BOLIVAR,3070.0,240,5.911257,0.521026,2,0.521026,3.216141,4.196095,3.216141,3.216141,2.695115,recent_distance,common,0.521026,1,2,longitudinal,2013,,
