codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,similarity,distancia_hist_pp,state_winner,state_top1,state_top2,candidate_profile,pasada,tolerancia_de_entrada,metodo,transicion
151102002,15,UNIDAD EDUCATIVA ESCUELA BÁSICA VILLA ROSA,Nueva Esparta,3103,4,10,winner_share,0.918036,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
150601023,15,UNIDAD EDUCATIVA RAFAEL SALAZAR BRITO,Nueva Esparta,3090,4,12,winner_share,0.651494,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
160101047,16,ESCUELA BASICA YOLANDA RIVERA DE PIERUZZINI,Portuguesa,3895,6,2,winner_share,1.02326,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
160601021,16,UNIDAD EDUCATIVA COLEGIO PRIVADO FE Y ALEGRIA NUESTRA SENORA DE COROMOTO,Portuguesa,3420,5,14,winner_share,1.679034,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
160601015,16,GRUPO ESCOLAR BOLIVARIANO DURIGUA,Portuguesa,2986,4,34,winner_share,0.186216,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
160201006,16,ESCUELA BASICA  ANTONIO RODRIGUEZ PICON,Portuguesa,2551,4,59,winner_share,0.303743,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
170903019,17,ESCUELA BOLIVARIANA RÍO CARIBE,Sucre,4864,7,3,winner_share,0.039087,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
170301012,17,LICEO JOSÉ FRANCISCO BERMÚDEZ,Sucre,4030,6,10,winner_share,0.623664,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
170907002,17,UNIDAD EDUCATIVA NUEVA CÓRDOBA,Sucre,3756,5,14,winner_share,0.643137,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
170903006,17,UNIDAD EDUCATIVA GRAN MARISCAL DE AYACUCHO,Sucre,3268,5,28,winner_share,0.322473,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
181601011,18,ESCUELA TECNICA INDUSTRIAL ROBINSONIANA SIMON BOLIVAR,Tachira,5547,8,7,winner_share,0.298836,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
181601002,18,GRUPO ESCOLAR PEDRO MARIA DE UREÑA,Tachira,5136,7,9,winner_share,1.922479,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
181001004,18,ESCUELA BASICA NACIONAL BOLIVARIANA DOCTOR FRANCISCO JAVIER GARCIA DE HEVIA,Tachira,4119,6,26,winner_share,1.462864,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
181601001,18,ESCUELA BOLIVARIANA NACIONAL LA FRONTERA,Tachira,4049,6,29,winner_share,1.453013,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
180202001,18,GRUPO ESCOLAR  EL PALOTAL,Tachira,3981,6,30,winner_share,0.505157,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
190702007,19,ESCUELA BOLIVARIANA CIUDAD DE VALERA,Trujillo,3334,5,14,winner_share,1.18425,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
190507001,19,UNIDAD EDUCATIVA DOCTOR ANDRÉS LOMELLI ROSARIO,Trujillo,3230,5,20,winner_share,0.926034,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
192002005,19,ESCUELA BOLIVARIANA VIVIENDA RURAL,Trujillo,3094,4,23,winner_share,0.029281,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
190202005,19,ESCUELA BOLIVARIANA PRESBÍTERO JOSÉ DE JESÚS ESPINOZA,Trujillo,3060,4,24,winner_share,0.43982,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
200401020,20,ESCUELA BASICA CARMEN DE RAMIREZ,Yaracuy,3202,5,6,winner_share,1.474683,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
200302002,20,ESCUELA INTEGRAL BOLIVARIANA PEDRO MARIA SOSA,Yaracuy,2217,3,37,winner_share,1.729069,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
200301007,20,LICEO BOLIVARIANO HERIBERTO NUÑEZ OLIVEROS,Yaracuy,1853,3,54,winner_share,0.540773,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210513002,21,ESCUELA BASICA NACIONAL CUATRICENTENARIA,Zulia,6571,9,14,winner_share,0.682517,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210515002,21,ESCUELA BASICA NACIONAL LUIS GUILLERMO SANCHEZ,Zulia,6340,9,21,winner_share,0.310712,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210513016,21,ESCUELA BASICA NACIONAL MAXIMA ARTEAGA PEREZ,Zulia,6312,9,22,winner_share,1.48261,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210305005,21,ESCUELA ENCONTRADOS,Zulia,5992,8,27,winner_share,1.67681,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210514008,21,UNIDAD EDUCATIVA NACIONAL HERMANO IDELFONZO GUTIERREZ,Zulia,5926,8,30,winner_share,0.212546,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
211805009,21,UNIDAD  EDUCATIVA  ARQUIDIOCESANA MADRE LAURA,Zulia,5910,8,31,winner_share,1.210397,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
211102016,21,ESCUELA NACIONAL LOS SAMANES,Zulia,5537,8,41,winner_share,1.141231,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
211805012,21,ESCUELA BASICA NACIONAL SISO MARTINEZ,Zulia,5391,7,44,winner_share,0.435537,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210516002,21,ESCUELA BASICA NACIONAL BACHILLER RAFAEL ESCANDELA,Zulia,4908,7,61,winner_share,0.018168,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
211803008,21,ESCUELA BASICA NACIONAL JOSE ANTONIO CALCAÑO,Zulia,4773,7,65,winner_share,0.437529,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
211805013,21,UNIDAD EDUCATIVA NACIONAL GONZALO RINCON GUTIERREZ,Zulia,4711,7,76,winner_share,0.014866,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
210503009,21,LICEO NACIONAL DR JESUS ENRIQUE LOSSADA,Zulia,4647,7,80,winner_share,0.410723,capriles,capriles,maduro,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
220102014,22,LICEO BOLIVARIANO CECILIO ACOSTA,Amazonas,3440,5,1,winner_share,1.025628,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
220102008,22,ESCUELA BASICA SIMON RODRIGUEZ,Amazonas,2552,4,7,winner_share,0.571938,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
230202001,23,ESCUELA BOLIVARIANA OROCOIMA,Delta Amacuro,1027,2,36,winner_share,0.147891,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
230108008,23,CONCENTRACION ESCOLAR NUMERO 1,Delta Amacuro,953,2,38,winner_share,1.98128,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
240104001,24,UNIDAD EDUCATIVA ESTADAL EMILIO GIMON STERLING,La Guaira,4458,6,6,winner_share,1.417448,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
240104010,24,UNIDAD EDUCATIVA ESTATAL DOCTOR ALFREDO MACHADO,La Guaira,4291,6,8,winner_share,0.792805,maduro,maduro,capriles,"bolivar,capriles,maduro,mendez,mora,sequera",1,2,legacy_similarity,2013_2018
