codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
192002005,19,ESCUELA BOLIVARIANA VIVIENDA RURAL,Trujillo,3094,4,23,59.760132,59.789413,0.029281,1,2,legacy,2013_2018
190202005,19,ESCUELA BOLIVARIANA PRESBÍTERO JOSÉ DE JESÚS ESPINOZA,Trujillo,3060,4,24,59.349593,59.789413,0.43982,1,2,legacy,2013_2018
200401020,20,ESCUELA BASICA CARMEN DE RAMIREZ,Yaracuy,3202,5,6,55.055322,56.530006,1.474683,1,2,legacy,2013_2018
200302002,20,ESCUELA INTEGRAL BOLIVARIANA PEDRO MARIA SOSA,Yaracuy,2217,3,37,54.800937,56.530006,1.729069,1,2,legacy,2013_2018
200301007,20,LICEO BOLIVARIANO HERIBERTO NUÑEZ OLIVEROS,Yaracuy,1853,3,54,55.989233,56.530006,0.540773,1,2,legacy,2013_2018
210513002,21,ESCUELA BASICA NACIONAL CUATRICENTENARIA,Zulia,6571,9,14,47.068933,47.688074,0.619142,1,2,legacy,2013_2018
210515002,21,ESCUELA BASICA NACIONAL LUIS GUILLERMO SANCHEZ,Zulia,6340,9,21,48.060969,47.688074,0.372894,1,2,legacy,2013_2018
210513016,21,ESCUELA BASICA NACIONAL MAXIMA ARTEAGA PEREZ,Zulia,6312,9,22,49.134746,47.688074,1.446672,1,2,legacy,2013_2018
210305005,21,ESCUELA ENCONTRADOS,Zulia,5992,8,27,49.085659,47.688074,1.397585,1,2,legacy,2013_2018
210514008,21,UNIDAD EDUCATIVA NACIONAL HERMANO IDELFONZO GUTIERREZ,Zulia,5926,8,30,47.92912,47.688074,0.241046,1,2,legacy,2013_2018
211805009,21,UNIDAD  EDUCATIVA  ARQUIDIOCESANA MADRE LAURA,Zulia,5910,8,31,46.44854,47.688074,1.239534,1,2,legacy,2013_2018
211102016,21,ESCUELA NACIONAL LOS SAMANES,Zulia,5537,8,41,46.347785,47.688074,1.340289,1,2,legacy,2013_2018
211805012,21,ESCUELA BASICA NACIONAL SISO MARTINEZ,Zulia,5391,7,44,48.104317,47.688074,0.416243,1,2,legacy,2013_2018
210516002,21,ESCUELA BASICA NACIONAL BACHILLER RAFAEL ESCANDELA,Zulia,4908,7,61,47.717149,47.688074,0.029075,1,2,legacy,2013_2018
211803008,21,ESCUELA BASICA NACIONAL JOSE ANTONIO CALCAÑO,Zulia,4773,7,65,48.174048,47.688074,0.485974,1,2,legacy,2013_2018
211805013,21,UNIDAD EDUCATIVA NACIONAL GONZALO RINCON GUTIERREZ,Zulia,4711,7,76,47.615304,47.688074,0.07277,1,2,legacy,2013_2018
210503009,21,LICEO NACIONAL DR JESUS ENRIQUE LOSSADA,Zulia,4647,7,80,47.262724,47.688074,0.425351,1,2,legacy,2013_2018
220102014,22,LICEO BOLIVARIANO CECILIO ACOSTA,Amazonas,3440,5,1,53.483992,52.458365,1.025628,1,2,legacy,2013_2018
220102008,22,ESCUELA BASICA SIMON RODRIGUEZ,Amazonas,2552,4,7,53.030303,52.458365,0.571938,1,2,legacy,2013_2018
230202001,23,ESCUELA BOLIVARIANA OROCOIMA,Delta Amacuro,1027,2,36,61.778471,61.63058,0.147891,1,2,legacy,2013_2018
