transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,01,Distrito Capital,9,899,899,899,9,9,100.0,100.0,54.890036,55.169428,0.279392,55.169428,51.320369,51.159239,-0.16113,-3.569668,-4.010189,-0.440522,1608977.0,2013,historical_rmse,common,9
2013,longitudinal,baseline,300,02,Anzoategui,6,598,598,598,6,6,100.0,100.0,51.581067,50.193005,-1.388062,50.193005,47.323629,45.278596,-2.045033,-4.257439,-4.914409,-0.656971,1006509.0,2013,historical_rmse,common,6
2013,longitudinal,baseline,300,03,Apure,3,317,316,317,3,3,100.0,100.0,66.112384,66.939444,0.827059,66.939444,61.76014,63.963691,2.203552,-4.352244,-2.975752,1.376492,309558.0,2013,historical_rmse,common,2
2013,longitudinal,baseline,300,04,Aragua,7,623,623,623,7,7,100.0,100.0,58.642441,57.626668,-1.015772,57.626668,54.054519,53.433703,-0.620816,-4.587922,-4.192965,0.394957,1164714.0,2013,historical_rmse,common,7
2013,longitudinal,baseline,300,05,Barinas,4,508,506,508,4,4,100.0,100.0,59.234242,59.381926,0.147683,59.381926,52.188214,51.461557,-0.726657,-7.046028,-7.920368,-0.87434,523946.0,2013,historical_rmse,common,4
2013,longitudinal,baseline,300,06,Bolivar,6,708,707,708,6,6,100.0,100.0,53.738039,53.034442,-0.703597,53.034442,47.879948,44.81982,-3.060128,-5.858091,-8.214622,-2.356531,941252.0,2013,historical_rmse,common,6
2013,longitudinal,baseline,300,07,Carabobo,8,658,658,658,8,8,100.0,100.0,54.506635,53.440241,-1.066394,53.440241,50.513511,48.896384,-1.617127,-3.993125,-4.543858,-0.550733,1516239.0,2013,historical_rmse,common,8
2013,longitudinal,baseline,300,08,Cojedes,2,248,248,248,2,2,100.0,100.0,65.315293,64.651962,-0.66333,64.651962,61.165345,61.393324,0.227978,-4.149947,-3.258639,0.891309,223028.0,2013,historical_rmse,common,2
2013,longitudinal,baseline,300,09,Falcon,4,691,691,691,4,4,100.0,100.0,59.876416,59.530945,-0.345472,59.530945,53.03365,53.469649,0.435998,-6.842766,-6.061296,0.78147,634614.0,2013,historical_rmse,common,4
2013,longitudinal,baseline,300,10,Guarico,4,431,422,431,4,4,100.0,100.0,64.171017,63.508178,-0.662839,63.508178,59.289042,58.559171,-0.729871,-4.881976,-4.949007,-0.067032,500154.0,2013,historical_rmse,common,3
2013,longitudinal,baseline,300,11,Lara,7,990,990,990,7,7,100.0,100.0,51.456205,50.145876,-1.310328,50.145876,47.719486,45.406753,-2.312733,-3.736719,-4.739123,-1.002404,1197690.0,2013,historical_rmse,common,7
